0,PO1,PO2,PO3,PO4,PO5,PO6,PO7,PO8,PO9,PO10,PO11,PO12,acc
LO1-MA,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO2-MA,1,0,1,0,1,1,1,1,1,1,1,1,0.8333333333333334
LO3-MA,1,1,1,0,1,1,1,1,1,1,1,1,0.9166666666666666
LO4-MA,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO5-MA,1,1,0,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO1-MA,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO2-MA,1,0,0,0,0,1,1,1,1,1,1,1,0.6666666666666666
LO3-MA,0,1,1,1,0,1,1,1,1,1,1,1,0.8333333333333334
LO4-MA,1,1,0,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO5-MA,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO6-MA,1,1,1,0,1,1,1,0,1,1,1,1,0.8333333333333334
LO7-MA,1,1,1,1,1,1,1,1,0,1,1,1,0.9166666666666666
LO8-MA,1,1,1,1,1,1,1,1,1,0,1,1,0.9166666666666666
LO1-MA,1,0,1,0,0,0,0,1,1,1,1,0,0.5
LO2-MA,0,0,1,0,1,1,1,1,1,1,1,1,0.75
LO3-MA,1,1,1,1,1,1,1,1,1,1,1,1,1.0
LO4-MA,1,1,0,0,1,1,0,1,1,1,1,1,0.75
LO5-MA,1,1,1,1,1,1,1,0,1,1,1,1,0.9166666666666666
LO6-MA,0,1,1,1,1,0,1,1,1,1,1,1,0.8333333333333334
LO7-MA,1,1,1,1,1,1,1,0,1,0,0,1,0.75
LO1-MA,1,1,1,0,1,1,1,1,1,1,1,1,0.9166666666666666
LO2-MA,1,1,1,1,1,1,1,1,1,1,1,1,1.0
LO3-MA,1,0,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO4-MA,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO5-MA,1,0,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO6-MA,1,1,1,0,0,1,1,1,1,1,1,1,0.8333333333333334
LO7-MA,1,1,1,1,1,1,1,1,0,1,1,1,0.9166666666666666
LO8-MA,1,1,1,1,1,0,1,1,1,1,1,1,0.9166666666666666
LO9-MA,1,1,1,1,1,1,1,1,0,1,1,1,0.9166666666666666
LO1-MA,1,0,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO2-MA,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO3-MA,1,1,1,0,1,1,1,1,1,1,1,1,0.9166666666666666
LO4-MA,1,1,0,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO1-MA,0,1,0,1,1,1,1,1,1,1,1,1,0.8333333333333334
LO2-MA,1,1,1,1,1,1,0,1,1,1,1,1,0.9166666666666666
LO3-MA,0,1,1,1,0,1,1,1,1,1,1,1,0.8333333333333334
LO4-MA,0,0,0,0,0,1,1,1,1,1,1,1,0.5833333333333334
LO5-MA,1,1,1,1,1,1,1,1,1,1,1,1,1.0
LO6-MA,1,1,1,1,1,1,1,1,1,1,1,1,1.0
LO7-MA,1,1,1,1,1,1,1,1,1,0,1,1,0.9166666666666666
LO1-MA,0,1,1,1,0,1,1,1,1,1,1,1,0.8333333333333334
LO1-MA,0,0,1,0,0,0,1,1,0,1,1,1,0.5
LO2-MA,1,1,0,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO3-MA,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO4-MA,1,1,0,0,0,1,1,1,1,1,1,1,0.75
LO1-MA,1,1,0,0,0,0,1,1,1,1,1,0,0.5833333333333334
LO2-MA,1,0,1,0,1,1,1,1,1,1,1,1,0.8333333333333334
LO3-MA,1,1,1,1,1,1,1,1,1,1,1,1,1.0
LO4-MA,1,1,1,0,1,1,1,1,1,1,1,1,0.9166666666666666
LO1-MA,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO2-MA,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO3-MA,1,0,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO4-MA,1,1,0,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO5-MA,1,1,1,1,0,1,1,1,1,1,1,1,0.9166666666666666
LO1-MA,1,1,0,0,0,0,1,1,0,1,1,0,0.5
LO2-MA,1,0,1,0,1,1,1,1,1,1,0,1,0.75
LO3-MA,1,1,0,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO4-MA,1,1,1,1,1,1,1,1,1,1,1,1,1.0
LO5-MA,1,1,1,1,1,1,1,1,0,1,1,1,0.9166666666666666
LO6-MA,1,1,1,1,1,1,1,1,1,1,0,1,0.9166666666666666
LO7-MA,1,1,1,1,1,1,1,1,1,1,1,0,0.9166666666666666
LO8-MA,1,1,1,1,1,0,0,0,1,1,1,0,0.6666666666666666
LO1-MA,0,1,1,0,1,1,1,1,1,1,1,1,0.8333333333333334
LO2-MA,1,0,1,1,0,1,1,1,1,1,1,1,0.8333333333333334
LO3-MA,1,1,1,0,0,1,1,1,1,1,1,1,0.8333333333333334
LO1-MA,0,1,1,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO2-MA,1,1,0,0,1,1,1,1,1,1,1,1,0.8333333333333334
LO3-MA,1,0,1,1,1,1,1,1,1,1,0,1,0.8333333333333334
LO4-MA,1,1,1,1,0,1,1,1,1,1,1,1,0.9166666666666666
LO1-MA,1,1,1,0,0,1,1,1,1,1,1,1,0.8333333333333334
LO2-MA,1,0,0,0,1,1,1,1,1,1,1,1,0.75
LO3-MA,1,1,1,0,1,1,1,1,1,1,1,1,0.9166666666666666
LO4-MA,1,1,1,1,0,1,1,1,1,1,1,1,0.9166666666666666
LO5-MA,0,1,0,0,1,1,1,1,1,1,1,1,0.75
LO6-MA,1,1,1,1,1,1,1,1,0,1,1,1,0.9166666666666666
LO1-MA,0,1,1,1,1,1,1,1,0,1,1,1,0.8333333333333334
LO2-MA,0,0,1,1,0,1,1,1,0,1,1,1,0.6666666666666666
LO3-MA,1,1,0,1,1,1,1,1,1,1,1,1,0.9166666666666666
LO4-MA,1,1,1,0,1,1,1,1,1,1,0,1,0.8333333333333334
LO5-MA,1,1,1,1,1,0,1,1,1,1,1,1,0.9166666666666666
LO6-MA,1,1,1,1,1,1,1,0,1,1,1,1,0.9166666666666666
LO1-MA,1,0,1,1,0,1,1,1,1,1,1,1,0.8333333333333334
LO2-MA,1,1,1,1,1,1,1,1,1,1,1,0,0.9166666666666666
LO3-MA,1,1,1,1,1,1,1,1,1,1,1,1,1.0
LO4-MA,0,1,1,1,0,0,1,1,1,1,0,1,0.6666666666666666
LO5-MA,1,1,1,1,1,0,1,1,1,1,1,0,0.8333333333333334
LO6-MA,0,0,1,0,0,0,1,1,1,1,1,1,0.5833333333333334
